source_id,source_telescope,disposition,period,period_err_upper,period_err_lower,duration,duration_err_upper,duration_err_lower,transit_midpoint,transit_midpoint_err_upper,transit_midpoint_err_lower,depth,depth_err_upper,depth_err_lower,planet_radius,planet_radius_err_upper,planet_radius_err_lower,equilibrium_temp,insolation_flux,stellar_magnitude,stellar_temp,stellar_temp_err_upper,stellar_temp_err_lower,stellar_radius,stellar_radius_err_upper,stellar_radius_err_lower,stellar_logg,stellar_logg_err_upper,stellar_logg_err_lower,ra,dec
K00752.01,KOI,CONFIRMED,9.48803557,2.775e-05,-2.775e-05,2.9575,0.0819,-0.0819,170.53875,0.00216,-0.00216,615.8,19.5,-19.5,2.26,0.26,-0.15,793.0,93.59,15.347,5455.0,81.0,-81.0,0.927,0.105,-0.061,4.467,0.064,-0.096,291.93423,48.141651
K00752.02,KOI,CONFIRMED,54.4183827,0.0002479,-0.0002479,4.507,0.116,-0.116,162.51384,0.00352,-0.00352,874.8,35.5,-35.5,2.83,0.32,-0.19,443.0,9.11,15.347,5455.0,81.0,-81.0,0.927,0.105,-0.061,4.467,0.064,-0.096,291.93423,48.141651
K00753.01,KOI,CANDIDATE,19.89913995,1.494e-05,-1.494e-05,1.7822,0.0341,-0.0341,175.850252,0.000581,-0.000581,10829.0,171.0,-171.0,14.6,3.92,-1.31,638.0,39.3,15.436,5853.0,158.0,-176.0,0.868,0.233,-0.078,4.544,0.044,-0.176,297.00482,48.134129
K00754.01,KOI,FALSE POSITIVE,1.736952453,2.63e-07,-2.63e-07,2.40641,0.00537,-0.00537,170.307565,0.000115,-0.000115,8079.2,12.8,-12.8,33.46,8.5,-2.83,1395.0,891.96,15.597,5805.0,157.0,-174.0,0.791,0.201,-0.067,4.564,0.053,-0.168,285.53461,48.28521
K00755.01,KOI,CONFIRMED,2.525591777,3.761e-06,-3.761e-06,1.6545,0.042,-0.042,171.59555,0.00113,-0.00113,603.3,16.9,-16.9,2.75,0.88,-0.35,1406.0,926.16,15.509,6031.0,169.0,-211.0,1.046,0.334,-0.133,4.438,0.07,-0.21,288.75488,48.2262
K00756.01,KOI,CONFIRMED,11.09432054,2.036e-05,-2.036e-05,4.5945,0.061,-0.061,171.20116,0.00141,-0.00141,1517.5,24.2,-24.2,3.9,1.27,-0.42,835.0,114.81,15.714,6046.0,189.0,-232.0,0.972,0.315,-0.105,4.486,0.054,-0.229,296.28613,48.22467
K00756.02,KOI,CONFIRMED,4.13443512,1.046e-05,-1.046e-05,3.1402,0.0673,-0.0673,172.97937,0.0019,-0.0019,686.0,18.7,-18.7,2.77,0.9,-0.3,1160.0,427.65,15.714,6046.0,189.0,-232.0,0.972,0.315,-0.105,4.486,0.054,-0.229,296.28613,48.22467
K00756.03,KOI,CONFIRMED,2.56658897,1.781e-05,-1.781e-05,2.429,0.165,-0.165,179.55437,0.00461,-0.00461,226.5,16.8,-16.8,1.59,0.52,-0.17,1360.0,807.74,15.714,6046.0,189.0,-232.0,0.972,0.315,-0.105,4.486,0.054,-0.229,296.28613,48.22467
K00114.01,KOI,FALSE POSITIVE,7.36178958,2.128e-05,-2.128e-05,5.022,0.136,-0.136,132.25053,0.00253,-0.00253,233.7,5.8,-5.8,39.21,6.45,-9.67,1342.0,767.22,12.66,6227.0,111.0,-124.0,1.958,0.322,-0.483,3.986,0.182,-0.098,298.86435,42.151569
K00757.01,KOI,CONFIRMED,16.06864674,1.088e-05,-1.088e-05,3.5347,0.0241,-0.0241,173.621937,0.000517,-0.000517,4914.3,33.3,-33.3,5.76,0.22,-0.49,600.0,30.75,15.841,5031.0,75.0,-83.0,0.848,0.033,-0.072,4.485,0.083,-0.028,286.99948,48.37579
