source_id,source_telescope,disposition,period,period_err_upper,period_err_lower,duration,duration_err_upper,duration_err_lower,transit_midpoint,transit_midpoint_err_upper,transit_midpoint_err_lower,depth,depth_err_upper,depth_err_lower,planet_radius,planet_radius_err_upper,planet_radius_err_lower,equilibrium_temp,insolation_flux,stellar_magnitude,stellar_temp,stellar_temp_err_upper,stellar_temp_err_lower,stellar_radius,stellar_radius_err_upper,stellar_radius_err_lower,stellar_logg,stellar_logg_err_upper,stellar_logg_err_lower,ra,dec,is_outlier
1000.01,TESS,FALSE POSITIVE,2.1713484,0.0002637,-0.0002637,2.0172196,0.3195879,-0.3195879,2459229.630046,0.001657,-0.001657,656.8860989,37.77821,-37.77821,5.8181633,1.9105465,-1.9105465,3127.2040524,22601.9485814,9.604,10249.0,264.7,-264.7,2.16986,0.0725729,-0.0725729,4.19,0.07,-0.07,112.357708,-12.69596,True
1001.01,TESS,CANDIDATE,1.9316462,5.3e-06,-5.3e-06,3.166,0.647,-0.647,2459987.948873,0.001916,-0.001916,1286.0,1186.49,-1186.49,11.2154,2.6242,-2.6242,4045.0,44464.5,9.42344,7070.0,126.4,-126.4,2.01,0.09,-0.09,4.03,0.09,-0.09,122.580465,-5.513852,True
1003.01,TESS,FALSE POSITIVE,2.74323,0.00108,-0.00108,3.167,0.642,-0.642,2458493.3957,0.00535,-0.00535,383.41,0.781988,-0.781988,,,,1631.0,1177.36,9.3003,5388.5,567.0,-567.0,,,,4.15,1.64,-1.64,110.559945,-25.207017,False
1004.01,TESS,FALSE POSITIVE,3.5730141,1.28e-05,-1.28e-05,3.37,1.029,-1.029,2459987.047262,0.003748,-0.003748,755.0,1306.55,-1306.55,11.3113,3.24714,-3.24714,4260.0,54679.3,9.1355,9219.0,171.1,-171.1,2.15,0.06,-0.06,4.14,0.07,-0.07,122.178195,-48.802811,True
1005.01,TESS,FALSE POSITIVE,4.5505945,3.1e-06,-3.1e-06,2.654,0.339,-0.339,2459985.156855,0.000581,-0.000581,3731.0,123.723,-123.723,7.10841,0.474611,-0.474611,1257.0,414.775,9.1309,5613.0,179.9,-179.9,1.09,0.07,-0.07,,,,120.704811,-11.101521,False
1006.01,TESS,FALSE POSITIVE,2.5047918,0.0004076,-0.0004076,4.3797563,0.1036554,-0.1036554,2459229.984579,0.002159,-0.002159,2270.5402194,81.38088,-81.38088,8.6950898,8.438766,-8.438766,1649.8220699,1750.932635,9.2386,6616.0,200.0,-200.0,1.53429,1.4887,-1.4887,,,,124.359239,-27.273521,False
1007.01,TESS,CANDIDATE,6.9989206,1.37e-05,-1.37e-05,3.953,0.437,-0.437,2459247.930695,0.0013,-0.0013,2840.0,0.943618,-0.943618,14.7752,0.764705,-0.764705,1282.0,448.744,8.87759,6596.0,139.2,-139.2,2.7,0.13,-0.13,3.71,0.09,-0.09,112.752393,-4.463359,True
1008.01,TESS,FALSE POSITIVE,2.0483755,5.5e-06,-5.5e-06,2.767,0.861,-0.861,2460258.236122,0.002805,-0.002805,483.0,41.94,-41.94,3.19621,,,,5644.4,8.9362,6858.5,584.6,-584.6,1.57,,,4.2,1.9,-1.9,109.382839,13.395219,True
1009.01,TESS,CANDIDATE,1.9600277,2.5e-06,-2.5e-06,2.0065257,0.050591,-0.050591,2459229.230924,0.000389,-0.000389,1707.6272693,49.601223,-49.601223,,,,1456.4246534,1063.3422958,8.4331,8868.7,809.8,-809.8,,,,,,,111.667845,-24.462111,True
101.01,TESS,CONFIRMED,1.4303699,8e-07,-8e-07,1.6165994,0.0192089,-0.0192089,2458326.009117,0.000132,-0.000132,18960.7122944,184.79134,-184.79134,13.1874503,0.6576402,-0.6576402,1525.9048089,1281.2408254,12.4069,5600.0,,,0.890774,0.0438467,-0.0438467,4.48851,,,318.737012,-55.871863,False
1010.01,TESS,FALSE POSITIVE,0.6808702,3.9e-05,-3.9e-05,2.4634563,0.0557065,-0.0557065,2459228.878101,0.000791,-0.000791,1507.8006889,39.971123,-39.971123,5.9115908,1.5360428,-1.5360428,4382.0266062,87140.6995884,8.45086,9438.0,782.0,-782.0,1.0,,,,,,112.293981,-21.832912,True
1011.01,TESS,CANDIDATE,2.4704981,7.3e-06,-7.3e-06,2.191,0.482,-0.482,2459984.627768,0.002619,-0.002619,250.0,18.1279,-18.1279,1.44656,0.107503,-0.107503,1364.0,575.597,8.2388,5413.7,132.8,-132.8,0.94,0.05,-0.05,4.46,0.09,-0.09,113.984761,-32.841999,False
1012.01,TESS,CANDIDATE,0.884182,7e-07,-7e-07,1.621,0.035,-0.035,2459252.509595,0.000369,-0.000369,1890.0,311.366,-311.366,24.8132,5.41599,-5.41599,5098.0,112144.0,8.12718,8928.0,128.7,-128.7,2.72,0.13,-0.13,3.92,0.08,-0.08,117.095285,6.785064,True
1013.01,TESS,FALSE POSITIVE,5.4255548,0.0002073,-0.0002073,3.9637474,0.0211401,-0.0211401,2459232.248322,0.000512,-0.000512,14939.6342222,238.97354,-238.97354,,,,1037.2753045,273.5880696,7.6095,8868.7,809.8,-809.8,,,,,,,107.286063,-31.933523,True
1014.01,TESS,FALSE POSITIVE,1.4095184,2.3e-06,-2.3e-06,0.9484999,0.0413901,-0.0413901,2459985.657041,0.000309,-0.000309,2841.5103258,51.88166,-51.88166,,,,1625.6180218,1650.422071,7.678,9307.0,938.9,-938.9,,,,,,,103.561602,-34.22282,True
1016.01,TESS,FALSE POSITIVE,12.6889415,0.0095088,-0.0095088,7.9201001,0.5393766,-0.5393766,2459238.831138,0.006715,-0.006715,3232.8527885,235.25328,-235.25328,14.0608342,15.241591,-15.241591,1158.1310368,425.1594177,10.6257,7601.0,135.8,-135.8,1.53641,0.0479799,-0.0479799,4.31,0.08,-0.08,116.110771,-36.098285,True
1017.01,TESS,FALSE POSITIVE,1.10422,0.00013,-0.00013,2.37,0.062,-0.062,2458518.96536,0.00137,-0.00137,14177.7,843.788,-843.788,21.0448,5.22012,-5.22012,3926.0,39459.3,10.6019,6995.2,157.0,-157.0,1.61,0.07,-0.07,4.07,0.55,-0.55,124.726411,-37.78325,True
1018.01,TESS,FALSE POSITIVE,4.95912,0.00016,-0.00016,2.509,0.13,-0.13,2458492.78078,0.00073,-0.00073,7440.0,197.962,-197.962,22.9123,3.28055,-3.28055,1419.0,673.55,10.6254,5889.0,124.3,-124.3,2.0,0.09,-0.09,3.86,0.07,-0.07,111.716019,-50.266567,False
1019.01,TESS,CANDIDATE,5.2341008,1.2e-06,-1.2e-06,3.7078139,0.0125204,-0.0125204,2459232.446864,0.00012,-0.00012,20796.9416293,50.80361,-50.80361,24.2931408,0.7497171,-0.7497171,1574.8381848,1453.6663847,10.6348,7645.0,134.4,-134.4,1.56203,0.0481257,-0.0481257,4.3,0.08,-0.08,120.147994,-54.878552,False
102.01,TESS,CONFIRMED,4.4119378,8e-07,-8e-07,3.65,0.011,-0.011,2460187.916571,0.000126,-0.000126,15062.0,69.1814,-69.1814,15.4706,0.691963,-0.691963,1408.0,653.252,9.7109,6280.0,,,1.21,0.05,-0.05,4.32092,,,87.139821,-63.988329,False
1020.01,TESS,FALSE POSITIVE,3.28892,0.00066,-0.00066,3.793,0.202,-0.202,2458521.29108,0.00241,-0.00241,10518.9,530.608,-530.608,,,,3661.0,29832.6,10.7173,8734.2,283.6,-283.6,,,,4.1,1.45,-1.45,128.381976,-43.828421,True
1021.01,TESS,FALSE POSITIVE,1.90879,0.00035,-0.00035,1.909,0.231,-0.231,2458492.90429,0.00426,-0.00426,618.482,1.43774,-1.43774,3.34688,0.217749,-0.217749,1561.0,985.807,10.5551,6022.6,133.5,-133.5,1.22,0.05,-0.05,4.52,0.39,-0.39,119.30075,-42.999149,False
1022.01,TESS,FALSE POSITIVE,3.09574,0.00677,-0.00677,4.475,1.196,-1.196,2458547.448,0.00834,-0.00834,380.0,,,3.4262,0.778713,-0.778713,3230.0,18087.9,8.72924,6084.0,111.0,-111.0,1.41,0.05,-0.05,4.13,0.3,-0.3,162.96491,-5.788708,True
1025.01,TESS,CANDIDATE,9.6837921,9e-07,-9e-07,2.4006056,0.0086986,-0.0086986,2458545.149804,9.2e-05,-9.2e-05,4238.2399008,15.838111,-15.838111,,,,1914.698926,3176.3106916,5.5324,8598.7,1245.7,-1245.7,,,,,,,142.521159,-51.517114,True
1026.01,TESS,FALSE POSITIVE,14.2628757,3.85e-05,-3.85e-05,6.9350494,0.466316,-0.466316,2460720.807674,0.00363,-0.00363,913.2067174,37.2772746,-37.2772746,2.4765813,0.1510812,-0.1510812,980.3628831,153.2069421,9.9138,5690.0,129.0,-129.0,0.853898,0.0413895,-0.0413895,4.58,0.08,-0.08,125.434634,-51.759442,True
1027.01,TESS,CANDIDATE,3.2834565,4.6e-06,-4.6e-06,1.537,0.709,-0.709,2460037.86905,0.001406,-0.001406,1558.0,185.42,-185.42,2.87648,0.314177,-0.314177,992.0,161.092,10.2103,4272.0,122.7,-122.7,0.68,0.06,-0.06,4.6,0.11,-0.11,167.133275,-29.653135,False
1027.02,TESS,CANDIDATE,11.02875,3.54e-05,-3.54e-05,2.715,0.404,-0.404,2460032.53325,0.002913,-0.002913,1694.0,104.432,-104.432,2.76586,0.268927,-0.268927,548.0,15.0463,10.2103,4272.0,122.7,-122.7,0.68,0.06,-0.06,4.6,0.11,-0.11,167.133275,-29.653135,False
